Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
CHUNSUM LOGISTICS AND TRANSPORTATION COMPANY LIMITED ,真心物流運輸有限公司 ,"107,250.00",5
,,,
CHUO RAN LIMITED ,逴然有限公司 ,"30,000.00",2
,,,
CHURCH OF EVERLASTING LOVE LIMITED ,基督教永愛教會有限公司 ,"42,000.00",2
,,,
CHURCH PIANIST TRAINING CENTRE LTD ,教會司琴培訓中心有限公司,"76,584.00",6
,,,
CHURCHILL CHAMBER (CENTRAL) LIMITED ,,"54,000.00",2
,,,
CHURCHILL FIDUCIARIES LIMITED ,,"181,500.00",7
,,,
CHY SYNERGETIC LIMITED ,協同創業有限公司 ,"91,620.00",5
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
CIA PRINTED CIRCUIT BOARDS LIMITED ,,"567,000.00",21
,,,
CIAO INTERNATIONAL LIMITED ,彩鷗國際有限公司 ,"15,965,508.00",680
,,,
CIARA JEWELLERY COMPANY LIMITED ,,"239,976.00",10
,,,
CICERO CAPITAL LIMITED ,,"81,000.00",3
,,,
CIDT INTERNATIONAL BULLION LIMITED ,大田國際金業有限公司 ,"461,826.00",23
,,,
CIGAR CLUB COMPANY LIMITED ,雪茄會所有限公司 ,"108,000.00",4
,,,
CIGAR COLLECTION LIMITED ,雪茄匯有限公司 ,"189,000.00",5
,,,
CIGRAAL LIMITED ,,"135,000.00",5
,,,
CIIC HONG KONG LIMITED ,中智香港有限公司 ,"1,122,504.00",43
,,,
CIKO (H.K.) COMPANY LIMITED ,思高(香港)有限公司 ,"40,500.00",2
,,,
CILIWUNG LTD ,吉利旺有限公司 ,"54,000.00",2
,,,
CINDY CHAN PSYCHOLOGICAL SERVICES ,陳皓宜心理服務 ,"27,000.00",1
,,,
CINE A HOLIC STUDIO LIMITED ,,"27,000.00",1
,,,
CINEMA CITY (LANGHAM PLACE) LIMITED ,電影城(朗豪坊)有限公司 ,"821,190.00",54
,,,
CINEMA CITY (TW) LIMITED ,電影城(荃灣)有限公司 ,"375,285.00",22
,,,
CINERENT LTD. ,,"781,602.00",29
,,,
CINMEDIA LIMITED ,先傳媒有限公司 ,"108,000.00",5
,,,
CINOTECH SOLUTIONS LIMITED ,漢臻科技有限公司 ,"81,000.00",3
,,,
CINTA WATCH (HK) COMPANY ,香港先達錶業公司 ,"54,000.00",2
,,,
CIRCLE CHAIN LINGERIE INDUSTRIAL COMPANY LIMITED ,偉捷達內衣實業有限公司 ,"54,000.00",2
,,,
CIRCLE DYNAMIC LIMITED ,,"54,000.00",2
,,,
CIRCLE INTERIOR DESIGN CO. LIMITED ,圈室內設計有限公司 ,"67,656.00",3
,,,
CIRCLE INVESTMENT COMPANY ,卓高投資公司 ,"121,500.00",8
,,,
CIRCLE TECH (HK) LIMITED ,源動(香港)有限公司 ,"206,565.00",8
,,,
CIRCUIT LIMITED ,綽傑有限公司 ,"388,233.00",18
,,,
CIRCUM MATH LIMITED ,縈數有限公司 ,"27,000.00",1
,,,
CIRCUS MEDIA (H.K.) LIMITED ,盛薈香港有限公司 ,"81,900.00",4
,,,
CIRCUS ONE LIMITED ,,"196,950.00",8
,,,
CIRCUTECH INVESTMENT LIMITED ,訊智海投資有限公司 ,"108,000.00",5
,,,
CIRRUS VIEW MANAGEMENT (INTERNATIONAL) COMPANY LIMITED ,天雲管理(國際)有限公司 ,"37,500.00",2
,,,
CIS HOSPITALITY HOLDINGS (H.K.) COMPANY LIMITED ,煒明酒店控股(香港)有限公司 ,"54,000.00",2
,,,
CISION COMPANY ,思迅公司 ,"40,773.00",3
,,,
CITA INTERNATIONAL LIMITED ,仙達國際有限公司 ,"189,000.00",7
,,,
CITI CONCEPT INVESTMENT LIMITED ,,"84,993.00",4
,,,
CITI‐BASE FOODS COMPANY LIMITED ,港基食品有限公司 ,"52,800.00",2
,,,
CITIC TELECOM INTERNATIONAL CPC LIMITED ,中信國際電訊(信息技術)有限公司 ,"7,077,864.00",256
,,,
CITI‐CHAMPION LIMITED ,城市精英有限公司 ,"267,345.00",10
,,,
CITICOMICS LIMITED ,漫畫文化有限公司 ,"80,637.00",4
,,,
CITICROWN PROPERTIES LIMITED ,冠港置業有限公司 ,"56,100.00",3
,,,
CITIFIELD INTERNATIONAL LIMITED ,迅輝國際有限公司 ,"20,250.00",1
,,,
CITIFIT INVESTMENT LIMITED ,,"88,200.00",4
,,,
CITI‐KING DEVELOPMENT LIMITED ,灝城發展有限公司 ,"14,850.00",1
,,,
CITIMAX DISCOVERY LIMITED ,日年發展有限公司 ,"22,500.00",2
,,,
CITISCAPE DECOR LIMITED ,臻藝廣告制作有限公司 ,"255,000.00",10
,,,
CITITOP GLOBAL LIMITED ,德寶環球有限公司 ,"46,050.00",2
,,,
CITIWAY ENTERPRISES LIMITED ,創威企業有限公司 ,"16,500.00",2
,,,
CITIWAY SYSTEMS CO ,國威電腦公司 ,"14,250.00",1
,,,
CITIWIDE TECHNOLOGIES LIMITED ,威業科技有限公司 ,"301,392.00",15
,,,
CITY CENTRE (HK) LIMITED ,城中(香港)有限公司 ,"54,000.00",2
,,,
CITY CREST LIMITED ,峰城有限公司 ,"27,000.00",1
,,,
CITY EFFORT LIMITED ,誠訊會計稅務有限公司 ,"108,000.00",5
,,,
CITY EMPLOYMENT PARADISE CO ,,"103,500.00",7
,,,
CITY FAME INDUSTRIES LIMITED ,港譽實業有限公司 ,"135,000.00",6
,,,
CITY FIRE ENGINEERING CO. ,城市消防工程公司 ,"18,000.00",1
,,,
CITY FIRM LIMITED ,城置有限公司 ,"97,500.00",4
,,,
CITY LANDMARK INTERNATIONAL LIMITED ,保利行發展有限公司 ,"49,500.00",2
,,,
CITY MEDICINE LIMITED ,藥城有限公司 ,"126,000.00",5
,,,
CITY OASIS INTERNATIONAL LIMITED ,承毅國際有限公司 ,"27,000.00",1
,,,
CITY OASIS LIMITED ,城市綠洲香港有限公司 ,"27,000.00",2
,,,
CITY OFFICE SUPPLIES CO. ,城市文儀用品公司 ,"78,000.00",4
,,,
CITY OPTICAL ,視城眼鏡公司 ,"94,500.00",4
,,,
CITY PROFESSION CONSULTANTS COMPANY LIMITED ,三會專業顧問有限公司 ,"54,000.00",2
,,,
CITY PROFIT DEVELOPMENT LIMITED ,利城發展有限公司 ,"27,000.00",1
,,,
CITY PROFIT ENTERPRISES LIMITED ,港倡企業有限公司 ,"38,778.00",2
,,,
CITY SMART EDUCATION LIMITED ,城駿教育中心 ,"43,500.00",3
,,,
CITY SURGICAL CENTER LIMITED ,拔萃外科醫療中心有限公司,"162,000.00",6
,,,
CITY VIEW DEVELOPMENT LIMITED ,景城發展有限公司 ,"42,000.00",2
,,,
CITY WARD LIMITED ,朝都有限公司 ,"42,000.00",2
,,,
CITY‐ART DESIGN LTD ,思鉄廣告設計有限公司 ,"54,000.00",2
,,,
CITYGUIDE INDUSTRIAL LIMITED ,錦佳實業有限公司 ,"54,000.00",2
,,,
CITYLEBEN LIMITED ,城市生活有限公司 ,"108,000.00",4
,,,
CITYLINK INTERNATIONAL DEVELOPMENT LIMITED ,領域國際發展有限公司 ,"466,167.00",21
,,,
CITYLINKERS CORPORATE SOLUTIONS LIMITED ,連城專業商務有限公司 ,"375,762.00",16
,,,
CITYNET LIMITED ,,"27,000.00",1
,,,
CITYONE ELECTRICAL CO. ,一城電業公司 ,"64,500.00",3
,,,
CITYSTAR LABEL PRINTING COMPANY LIMITED ,城輝商標印刷有限公司 ,"345,000.00",13
,,,
CITYTEC INVESTMENT LIMITED ,港達投資有限公司 ,"27,000.00",1
,,,
CITYTRENDS ELECTRONICS LIMITED ,域時數碼有限公司 ,"22,500.00",1
,,,
CIVIL LINK HEALTH PRODUCTS LIMITED ,三通健康食品有限公司 ,"65,250.00",3
,,,
CIVIL LINK LIMITED ,三通民用有限公司 ,"72,000.00",3
,,,
CJ DENTAL CARE HUNG HOM LIMITED ,思傑紅磡醫務中心有限公司,"98,640.00",4
,,,
CJ DENTAL HOLDING LIMITED ,思傑集團有限公司 ,"135,000.00",5
,,,
CJ ENM HONG KONG LIMITED ,,"432,000.00",14
,,,
CJ GROUP CORPORATE SERVICES LIMITED ,卓智集團服務有限公司 ,"127,500.00",6
,,,
CK MOTORS HONG KONG COMPANY LIMITED ,力恒汽車香港有限公司 ,"69,000.00",4
,,,
CK RETAIL 21 (HONG KONG) LIMITED ,,"1,112,274.00",42
,,,
CK TAX COMPANY LIMITED ,展群稅務有限公司 ,"54,000.00",2
,,,
CKLM TRANSPORTATION COMPANY LIMITED ,志鈞樑滿運輸有限公司 ,"198,000.00",8
,,,
CKP MARKETING LIMITED ,,"54,000.00",2
,,,
CKSS TRAVEL LTD ,,"46,500.00",2
,,,
CKYHK COMPANY LIMITED ,鈞譽(香港)有限公司 ,"7,950.00",1
,,,
CL2 LIFESTYLE LIMITED ,,"22,500.00",1
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
CLAIRE GROUP A/S ,,"27,000.00",1
,,,
CLARE.AI LIMITED ,,"242,250.00",10
,,,
CLAREMONT INDUSTRIAL LIMITED ,泰明實業有限公司 ,"81,000.00",5
,,,
CLARIDGE STAGE LIMITED ,,"75,900.00",3
,,,
CLARK KINCAID ENGINEERING (H.K.) LIMITED ,先機工程有限公司 ,"27,000.00",1
,,,
CLARUS MEDICAL LIMITED ,,"101,475.00",4
,,,
CLASSES HONG KONG LIMITED ,,"12,000.00",1
,,,
CLASSIC BEAUTY COMPANY ,,"12,000.00",1
,,,
CLASSIC EXPORTS LIMITED ,,"60,000.00",3
,,,
CLASSIC HAIR ,,"49,899.00",2
,,,
CLASSIC LIFE GROUP LIMITED ,健美站集團有限公司 ,"126,204.00",5
,,,
CLASSICA CAPITAL LIMITED ,佳盛資本有限公司 ,"135,000.00",5
,,,
CLASSY WHEELER ICT LIMITED ,,"79,500.00",3
,,,
CLC INVESTMENT CONSULTANT ,,"15,000.00",1
,,,
CLC TECHNOLOGY ENTERPRISE COMPANY LIMITED ,華勤科技企業有限公司 ,"51,750.00",2
,,,
CLEADECO PRO LIMITED ,寶德高有限公司 ,"10,500.00",3
,,,
CLEAIR GROUP LIMITED ,,"184,500.00",6
,,,
CLEAN MASTER COMPANY LIMITED ,洗碗佬有限公司 ,"74,250.00",3
,,,
CLEANING FORT CARPET SERVICES LIMITED ,潔麟堡地氈服務有限公司 ,"41,862.00",3
,,,
CLEANLIFE LIMITED ,潔麗有限公司 ,"223,380.00",9
,,,
CLEANOIL INVESTMENT LIMITED ,,"27,000.00",1
,,,
CLEANOIL LIMITED ,,"81,000.00",3
,,,
CLEANOIL ZHUHAI INVESTMENT LIMITED ,,"40,647.00",2
,,,
CLEARMOON INTERNATIONAL LIMITED ,幻月國際有限公司 ,"106,500.00",4
,,,
CLEARWATER CAPITAL PARTNERS HONG KONG LIMITED ,凱華投資香港有限公司 ,"459,000.00",17
,,,
CLEMENT C W CHAN & CO ,陳松華會計師事務所 ,"914,034.00",35
,,,
CLEMIKO TIMEPIECE ,,"72,900.00",3
,,,
CLESTRA LIMITED ,,"513,000.00",20
,,,
CLEVER BLESSING INTERNATIONAL LTD ,,"142,125.00",6
,,,
CLEVER PRINTS LIMITED ,,"27,000.00",1
,,,
CLEVER SHINE LTD. ,宏商有限公司 ,"51,750.00",2
,,,
CLEVER SKILL INVESTMENT LIMITED ,醒藝投資有限公司 ,"10,500.00",1
,,,
CLEVER TECH LIMITED ,慧科有限公司 ,"625,635.00",27
,,,
CLG CPA LIMITED ,智立會計師事務所有限公司,"157,500.00",6
,,,
CLH (HONG KONG) LIMITED ,僑聯行(香港)有限公司 ,"13,500.00",1
,,,
CLIC LIMITED ,,"15,000.00",1
,,,
CLICK CLOCK LIMITED ,小時鐘有限公司 ,"134,250.00",5
,,,
CLICK NET COMBINE TRANSPORT LIMITED ,汛雷聯運有限公司 ,"27,000.00",1
,,,
CLICKBALA NETWORK LIMITED ,橙盒網絡有限公司 ,"52,500.00",3
,,,
CLICKER LIMITED ,,"135,000.00",5
,,,
CLICKOO LIMITED ,,"27,000.00",1
,,,
CLIFTON HONGKONG LIMITED ,,"54,000.00",2
,,,
CLIK TECHNOLOGY LIMITED ,,"22,500.00",1
,,,
CLINIC BEAUTY LIMITED ,科技美容有限公司 ,"37,500.00",2
,,,
CLINIC FIRST LIMITED ,,"54,000.00",2
,,,
CLIPPER INDUSTRIAL COMPANY LIMITED ,成業製造有限公司 ,"27,000.00",1
,,,
CLIPS LAB ,,"51,000.00",2
,,,
CLL C.P.A. LIMITED ,德信會計師事務所有限公司,"151,050.00",6
,,,
CLOCKWORK CORPORATE SERVICES LIMITED ,,"131,400.00",5
,,,
CLOSE TO CLOTHES (ASIA PACIFIC) LIMITED ,,"478,500.00",18
,,,
CLOSET HONG KONG ,,"72,750.00",3
,,,
CLOUD CONNECT TECHNOLOGY LIMITED ,雲通科技有限公司 ,"1,928,364.00",75
,,,
CLOUD DOLLAR INVESTMENTS LIMITED ,衡盛投資有限公司 ,"27,000.00",1
,,,
CLOUD LIGHT TECHNOLOGY LIMITED ,雲暉科技有限公司 ,"1,162,509.00",43
,,,
CLOUD MILE LIMITED ,萬里雲互聯有限公司 ,"135,000.00",5
,,,
CLOUD STATION (HK) LIMITED ,雲際站(香港)有限公司 ,"27,000.00",1
,,,
CLOUD SYSTEMS ASIA LTD ,,"54,000.00",2
,,,
CLOUDIE LIMITED ,,"49,500.00",2
,,,
CLOUD‐LED LIGHTING TECHNOLOGY LIMITED ,整合科技有限公司 ,"21,000.00",1
,,,
CLOUDNIFIER CORPORATION LIMITED ,,"430,500.00",16
,,,
CLOVER DISPLAY LIMITED ,高發液晶有限公司 ,"700,764.00",28
,,,
CLOVER INTEGRITY CORPORATE SERVICES LIMITED ,,"54,000.00",2
,,,
"CLOVER QUEENY INTERNATIONLL CO., LIMITED ",,"54,000.00",2
,,,
CLT CORPORATE SERVICES LIMITED ,勤力德企業服務有限公司 ,"328,680.00",20
,,,
CLT HOBBY LIMITED ,友和(中國)有限公司 ,"81,000.00",3
,,,
CLUB 21 ENTERPRISES (HONG KONG) LIMITED ,,"861,708.00",28
,,,
CLUB CYCLONE RUNNER LIMITED ,逐風者船藝會有限公司 ,"42,750.00",2
,,,
CLUB QING LIMITED ,慶公宴有限公司 ,"77,250.00",3
,,,
CLY LAWYERS ,陳林梁余律師行 ,"387,060.00",15
,,,
CM & CO. ,泰安行 ,"53,541.00",2
,,,
CM BEAUTY GROUP LIMITED ,西美美容集團有限公司 ,"864,882.00",36
,,,
CM BINARY LIMITED ,百納利有限公司 ,"162,000.00",6
,,,
CM CORPORATE CONSULTING LIMITED ,昌明企業顧問有限公司 ,"27,000.00",4
,,,
CM SECURITY SERVICES LIMITED ,智銘服務有限公司 ,"143,112.00",16
,,,
"CM&CO., CERTIFIED PUBLIC ACCOUNTANTS ",昌明會計師事務所 ,"81,000.00",3
,,,
CM2 FASHION WHOLESALE COMPANY LIMITED ,卓敏時裝批發有限公司 ,"1,500.00",1
,,,
CMA EXHIBITION SERVICES LIMITED ,香港中華廠商聯合會展覽服務有限公司,"771,621.00",28
,,,
"CMAX EXHIBITION CO., LIMITED ",晟鉻展覽工程有限公司 ,"54,000.00",2
,,,
CMAX GROUP LIMITED ,,"78,984.00",3
,,,
CMG MANAGEMENT SERVICES LIMITED ,,"975,864.00",52
,,,
CMI CREDIT MANAGEMENT LIMITED ,華商國際賬務管理有限公司,"54,000.00",2
,,,
CMIT SUPPORT LIMITED ,,"513,000.00",19
,,,
CMK DESIGN & ENGINEERING COMPANY ,金櫥坊設計工程公司 ,"27,000.00",1
,,,
CML CHEMISTRY LIMITED ,,"54,000.00",2
,,,
CML TRADING (ASIA) LIMITED ,,"189,000.00",7
,,,
C'MONDE STUDIOS LIMITED ,,"69,000.00",3
,,,
CMP ASIA LIMITED ,法國巴黎家用產品集團亞洲有限公司,"52,500.00",2
,,,
CMRS DIGITAL SOLUTIONS LIMITED ,,"1,675,779.00",66
,,,
CMS ELECTRONICS ASIA PACIFIC LIMITED ,司馬仕電子亞太有限公司 ,"81,000.00",3
,,,
CMSC PARTNERS LIMITED ,和信資本有限公司 ,"126,000.00",6
,,,
CMSS LIMITED ,,"561,894.00",22
,,,
CMT LOGISTICS (HONG KONG) LIMITED ,香港中運物流有限公司 ,"51,000.00",2
,,,
CN CELLAR LIMITED ,鴻圖酒業有限公司 ,"19,950.00",2
,,,
CNA METALS CHINA LIMITED ,斯安金屬中國有限公司 ,"96,000.00",4
,,,
CNAF HONG KONG REFUELLING LIMITED ,中國航油香港供油有限公司,"1,259,550.00",47
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
CNC MEDIA INVESTMENT GROUP LIMITED ,浩博媒體投資集團有限公司,"27,000.00",1
,,,
CNH DEVELOPMENT COMPANY LIMITED ,,"24,750.00",1
,,,
CNP CORPORATE SERVICES LIMITED ,,"54,000.00",2
,,,
CO LINK CATERING LIMITED ,匯創社餐飲有限公司 ,"201,600.00",10
,,,
COACT LIMITED ,,"135,000.00",5
,,,
COASTAL ENTERPRISES LIMITED ,宜丰企業有限公司 ,"54,000.00",2
,,,
COBAL MERCHANT COMPANY LIMITED ,國通貿易海外有限公司 ,"93,600.00",4
,,,
COBALT 47 TECHNOLOGIES LIMITED ,高博47科技有限公司 ,"187,500.00",7
,,,
COCCO HIFU SPECIALIST ,,"12,000.00",1
,,,
COCHEER LAB COMPANY LIMITED ,,"8,220.00",1
,,,
COCO ,可可 ,"21,000.00",1
,,,
COCOBIBI FASHION STORE PLUS ,,"19,500.00",1
,,,
COCOLO (HONG KONG) LIMITED ,雪之心有限公司 ,"74,193.00",7
,,,
COCOON CONCEPT LIMITED ,,"81,000.00",3
,,,
CODA TELECOMMUNICATION LIMITED ,科達電訊有限公司 ,"27,000.00",1
,,,
CO‐DE ARCHITECTS LIMITED ,合生建築師事務所有限公司,"81,000.00",3
,,,
CODE FREE SOFT LIMITED ,,"403,500.00",21
,,,
CODEC LIMITED ,,"27,489.00",2
,,,
CODELITY COMPANY LIMITED ,,"64,500.00",3
,,,
CODESIGN LIMITED ,,"243,000.00",9
,,,
CODESMINE ACADEMY LIMITED ,,"27,000.00",1
,,,
CODEX GENETICS LIMITED ,科德施基因有限公司 ,"189,000.00",7
,,,
CODORNIU (HONG KONG) LIMITED ,,"54,000.00",2
,,,
COFAIR SECRETARIES LIMITED ,卓輝秘書有限公司 ,"81,000.00",3
,,,
COFAM‐ASIA LIMITED ,,"27,000.00",1
,,,
"COFCO FUTURES (INTERNATIONAL) CO., LIMITED ",中糧期貨(國際)有限公司 ,"351,000.00",13
,,,
CO‐FENCING SPACE LIMITED ,劍擊共享平台有限公司 ,"27,000.00",1
,,,
COFFEE LOVER LIMITED ,鍾情咖啡有限公司 ,"27,000.00",1
,,,
COFFEE PUBLIC LIMITED ,,"54,000.00",3
,,,
COFFER INDUSTRIAL HONG KONG LIMITED ,科發實業香港有限公司 ,"54,000.00",2
,,,
COGENT CHIROPRACTIC HEALTHCARE ,確康脊醫中心 ,"45,750.00",3
,,,
COGENT PROPERTY SERVICES LIMITED ,高信物業服務有限公司 ,"1,862,013.00",92
,,,
COGENT TRADING CO LTD ,康源貿易有限公司 ,"243,000.00",13
,,,
COHEE LIMITED ,,"101,250.00",5
,,,
COHEN OPTICAL LTD ,玉晶堂眼鏡有限公司 ,"185,397.00",8
,,,
COHERE DESIGN COMPANY LIMITED ,遨天設計有限公司 ,"128,700.00",5
,,,
COHERE OPTICAL O/B MAKELITE LTD ,美禮有限公司/凝視美眼鏡 ,"16,500.00",1
,,,
COIN PROFIT LIMITED ,銘盈有限公司 ,"54,000.00",2
,,,
COINAGE HONG KONG COMPANY LIMITED ,考立香港有限公司 ,"27,000.00",1
,,,
COL (GROUP) LIMITED ,威廉實業有限公司 ,"21,000.00",2
,,,
COLAND HOLDINGS COMPANY LIMITED ,高龍集團股份有限公司 ,"243,000.00",9
,,,
COLAR MARKETING SOLUTION LIMITED ,酷啦市場策劃有限公司 ,"27,000.00",1
,,,
COLLABORATE LIMITED ,,"15,000.00",1
,,,
COLLABORATION CONSULTANCY LTD ,,"252,000.00",10
,,,
COLLEAGUE HK CATERING GROUP COMPANY LIMITED ,同仁四季香港餐飲集團有限公司,"538,650.00",19
,,,
COLLECTANEA J. LIMITED ,薈飾有限公司 ,"119,688.00",5
,,,
COLLECTIVE (NOMINEES) LTD ,集資(代表人)有限公司 ,"27,000.00",1
,,,
COLLECTIVE STUDIO LIMITED ,,"229,500.00",9
,,,
COLLECTORS UNIVERSE (HONG KONG) LIMITED ,,"270,000.00",12
,,,
COLLILOY INDUSTRIAL LIMITED ,高利來實業有限公司 ,"54,000.00",2
,,,
COLOPLAST (HONG KONG) LIMITED ,康樂保(香港)有限公司 ,"297,000.00",11
,,,
COLOR CONCEPT PRINTING LIMITED ,二寶印刷有限公司 ,"42,000.00",3
,,,
COLOR ICT LIMITED ,先達顏色科技有限公司 ,"127,500.00",5
,,,
COLOR PHOTO SHOP ,彩龍快速沖印 ,"45,900.00",3
,,,
COLOR POINT LTD ,,"69,000.00",3
,,,
COLOR PRINT CO. ,彩圖影印 ,"41,241.00",2
,,,
COLOR SCISSORS CO ,色彩剪刀貿易公司 ,"54,000.00",2
,,,
COLORFUL TOY INTERNATIONAL LIMITED ,華美玩具國際有限公司 ,"15,750.00",1
,,,
COLORJEWELS ,,"273,750.00",11
,,,
COLORMATRIX ASIA LTD. ,嘉洛斯亞洲有限公司 ,"135,000.00",5
,,,
COLORPRINT OFFSET LIMITED ,嘉賓柯式有限公司 ,"69,450.00",3
,,,
COLORSTONE ,彩石店 ,"21,000.00",1
,,,
COLORVISION PRODUCTIONS LIMITED ,卡訊製作有限公司 ,"39,000.00",4
,,,
COLOUR ,,"65,067.00",4
,,,
COLOUR FINE LIMITED ,明彩有限公司 ,"82,365.00",4
,,,
COLOUR GROUP HAIR SALON LIMITED ,,"512,127.00",20
,,,
"COLOUR PRODUCT DESIGN CO., ",基立產品設計 ,"68,400.00",3
,,,
COLOUR SKY LIMITED ,采天有限公司 ,"159,252.00",7
,,,
COLOUR UNIFORM LIMITED ,千色制服有限公司 ,"96,750.00",4
,,,
COLOUR UP HOLIDAY LIMITED ,悠樂假期有限公司 ,"15,000.00",1
,,,
COLOURFUL PRODUCTION CO LTD ,嘉滙製作有限公司 ,"49,500.00",2
,,,
COLOURFUL STYLE PRINTING COMPANY LIMITED ,色佳印刷有限公司 ,"150,183.00",8
,,,
COLTEX TRADING LTD. ,高德仕有限公司 ,"54,000.00",2
,,,
COLUMBIA BABIES LIMITED ,,"54,000.00",3
,,,
COLY WELL LIMITED ,金必得有限公司 ,"162,000.00",6
,,,
COMASIA LIMITED ,康亞有限公司 ,"1,404,204.00",55
,,,
COMAX (ASIA) LIMITED ,康美仕(亞洲)有限公司 ,"93,636.00",4
,,,
COMBINE PROFESSIONAL CONSULTANCY LIMITED ,融匯專業咨詢有限公司 ,"54,000.00",2
,,,
COMBOXX GROUP LIMITED ,,"240,000.00",8
,,,
COME 2 LEND (HK) LIMITED ,唔該借借(香港)有限公司 ,"60,000.00",5
,,,
COME IN TRADING DEVELOPMENT LIMITED ,錦源貿易發展有限公司 ,"30,000.00",2
,,,
COME TO LEARN EDUCATION CENTER LIMITED ,齊齊學教育中心有限公司 ,"165,000.00",8
,,,
COMETAI ENTERPRISES LIMITED ,,"201,000.00",8
,,,
COMEX TRADING LTD ,,"98,832.00",4
,,,
COMFIT HEALTHCARE DEVICES LIMITED ,智康健醫療設備有限公司 ,"54,000.00",2
,,,
COMFORT HOME COMPANY LIMITED ,溫馨無限有限公司 ,"236,313.00",10
,,,
COMFORT PHO LIMITED ,加能湯粉有限公司 ,"303,582.00",20
,,,
COMFORT VETERINARY CLINIC LTD. ,仁安獸醫診所有限公司 ,"227,640.00",12
,,,
COMFORT WELL LIMITED ,,"22,500.00",1
,,,
COMFORT YARN TRADING CO. LTD. ,金徽毛紗貿易有限公司 ,"64,500.00",3
,,,
COMI (HONG KONG) COMPANY LIMITED ,,"7,500.00",1
,,,
COMING COACH LIMITED ,金名旅運有限公司 ,"57,000.00",3
,,,
COMIX TRADING COMPANY LIMITED ,佑齊貿易有限公司 ,"27,000.00",1
,,,
COMMAND N MEDIA LIMITED ,創意指令媒體有限公司 ,"120,750.00",5
,,,
COMMERCE‐CONNECTIONS ASIA LIMITED ,商貿聯糸(亞洲)有限公司 ,"54,000.00",2
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
COMMNET TELECOM LIMITED ,聯盈電訊科技有限公司 ,"269,760.00",12
,,,
COMM‐TEC ASIA LIMITED ,,"162,000.00",6
,,,
COMMTECH (ASIA) LIMITED ,,"621,000.00",24
,,,
COMMWAY ENTERPRISES COMPANY LTD. ,金韋企業有限公司 ,"27,000.00",1
,,,
COMMY HARDWARE COMPANY LIMITED ,金匙建材有限公司 ,"230,250.00",9
,,,
COMPANION TRAVEL LTD ,,"27,000.00",1
,,,
COMPANY FORMATIONS FAR EAST LIMITED ,遠東商行註册有限公司 ,"108,000.00",5
,,,
COMPASS CORPORATE SERVICES LIMITED ,企業創富有限公司 ,"6,480.00",1
,,,
COMPASS EDGE LIMITED ,領銳顧問有限公司 ,"123,975.00",6
,,,
COMPASSECO ENTERPRISES CO LTD ,康柏斯企業有限公司 ,"30,000.00",2
,,,
COMPETENT SECURITY AND PROTECTION SERVICES LIMITED ,卓誠保安及護衛服務有限公司,"730,599.00",28
,,,
"COMPLACENT INDUSTRIAL CO., LTD. ",如益實業有限公司 ,"171,000.00",7
,,,
COMPLETE MARINE FREIGHT (HK) LTD ,,"27,000.00",1
,,,
COMPLETE SOLUTIONS INTERNATIONAL LIMITED ,全信環球有限公司 ,"474,405.00",19
,,,
COMPLIANCE FIRST CONSULTING LIMITED ,先達合規顧問有限公司 ,"189,000.00",7
,,,
COMPLIANCEPLUS CONSULTING LIMITED ,天智合規顧問有限公司 ,"559,500.00",21
,,,
COMPO COMPUTER COMPANY ,永昇電腦公司 ,"18,000.00",1
,,,
COMPO CORDYCEPS LIMITED ,金寶蟲草皇有限公司 ,"130,500.00",6
,,,
COMPOTECH COMPANY LIMITED ,森寶達有限公司 ,"133,500.00",5
,,,
COMPTIFY ANALYTICS LIMITED ,康迪凡諮詢有限公司 ,"162,000.00",6
,,,
COMPUCON COMPUTERS LTD ,廣博電腦有限公司 ,"552,744.00",19
,,,
COMPUSMART LTD. ,,"59,733.00",4
,,,
COMPUTER BINDER SUPPLIES CO LIMITED ,八達文儀製品有限公司 ,"48,450.00",3
,,,
COMPUTER FORMS (ASIA) LIMITED ,電腦紙(亞洲)有限公司 ,"37,500.00",2
,,,
COMPUTER FORMS (HK) LTD ,電腦紙(香港)有限公司 ,"89,106.00",4
,,,
COMPUTER SOLUTION LIMITED ,康索電腦有限公司 ,"150,450.00",7
,,,
